Date, Open, High, Low, Close
01/25/21, 0.3056, 0.3066, 0.3044, 0.3054
01/22/21, 0.3054, 0.3062, 0.3045, 0.3057
01/21/21, 0.3059, 0.3071, 0.3040, 0.3051
01/20/21, 0.3059, 0.3059, 0.3059, 0.3059
01/19/21, 0.3092, 0.3108, 0.3067, 0.3073
01/18/21, 0.3059, 0.3113, 0.3031, 0.3092
01/15/21, 0.3138, 0.3139, 0.3043, 0.3058
01/14/21, 0.3200, 0.3211, 0.3130, 0.3138
01/13/21, 0.3169, 0.3198, 0.3167, 0.3197
01/12/21, 0.3147, 0.3180, 0.3147, 0.3172
01/11/21, 0.3139, 0.3152, 0.3129, 0.3149
01/08/21, 0.3142, 0.3149, 0.3134, 0.3137
01/07/21, 0.3139, 0.3150, 0.3137, 0.3145
01/06/21, 0.3121, 0.3148, 0.3121, 0.3140
01/05/21, 0.3121, 0.3121, 0.3121, 0.3121
01/04/21, 0.3111, 0.3122, 0.3108, 0.3115
01/01/21, 0.3112, 0.3112, 0.3111, 0.3111
12/31/20, 0.3111, 0.3117, 0.3106, 0.3112
12/30/20, 0.3107, 0.3118, 0.3104, 0.3110
12/29/20, 0.3104, 0.3116, 0.3102, 0.3107
12/28/20, 0.3106, 0.3114, 0.3101, 0.3104
12/25/20, 0.3111, 0.3111, 0.3103, 0.3106
12/24/20, 0.3109, 0.3114, 0.3104, 0.3111
12/23/20, 0.3095, 0.3111, 0.3094, 0.3109
12/22/20, 0.3095, 0.3095, 0.3095, 0.3095
12/21/20, 0.3088, 0.3094, 0.3067, 0.3076
12/18/20, 0.3085, 0.3092, 0.3079, 0.3090
12/17/20, 0.3075, 0.3087, 0.3072, 0.3084
12/16/20, 0.3072, 0.3084, 0.3070, 0.3075
12/15/20, 0.3067, 0.3076, 0.3061, 0.3073
12/14/20, 0.3071, 0.3080, 0.3063, 0.3067
12/11/20, 0.3074, 0.3081, 0.3066, 0.3070
12/10/20, 0.3077, 0.3080, 0.3069, 0.3073
12/09/20, 0.3068, 0.3081, 0.3067, 0.3074
12/08/20, 0.3072, 0.3084, 0.3064, 0.3069
12/07/20, 0.3057, 0.3075, 0.3050, 0.3071
12/04/20, 0.3061, 0.3073, 0.3054, 0.3058
12/03/20, 0.3041, 0.3072, 0.3037, 0.3062
12/02/20, 0.3041, 0.3048, 0.3035, 0.3043
12/01/20, 0.3027, 0.3043, 0.3022, 0.3039
11/30/20, 0.3016, 0.3028, 0.3007, 0.3024
11/27/20, 0.3009, 0.3018, 0.3003, 0.3016
11/26/20, 0.3016, 0.3025, 0.3007, 0.3010
11/25/20, 0.2998, 0.3016, 0.2996, 0.3012
11/24/20, 0.2984, 0.3002, 0.2984, 0.2999
11/23/20, 0.2993, 0.2999, 0.2981, 0.2984
11/20/20, 0.2986, 0.2998, 0.2983, 0.2994
11/19/20, 0.2986, 0.2992, 0.2980, 0.2987
11/18/20, 0.2982, 0.2994, 0.2980, 0.2986
11/17/20, 0.2970, 0.2984, 0.2969, 0.2982
11/16/20, 0.2969, 0.2985, 0.2966, 0.2971
11/13/20, 0.2966, 0.2975, 0.2966, 0.2969
11/12/20, 0.2961, 0.2970, 0.2955, 0.2966
11/11/20, 0.2958, 0.2963, 0.2952, 0.2961
11/10/20, 0.2969, 0.2974, 0.2953, 0.2957
11/09/20, 0.2963, 0.2982, 0.2963, 0.2970
11/06/20, 0.2960, 0.2967, 0.2950, 0.2964
11/05/20, 0.2947, 0.2966, 0.2944, 0.2960
11/04/20, 0.2930, 0.2951, 0.2919, 0.2947
11/03/20, 0.2931, 0.2941, 0.2923, 0.2930
11/02/20, 0.2936, 0.2947, 0.2929, 0.2931
